 CURRENCY,NAME,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR,UNITS PER INR
TND,Tunisian Dinar,0.028414502,0.031353467,0.02820392,0.028304592,0.026557827,0.029455477,0.030810556,0.033954923
UGX,Ugandan Shilling,40.76378379,52.2818783,46.64530599,49.17663292,40.72146333,43.86974452,50.91992574,53.00582152
RON,Romanian Leu,0.063090532,0.071467563,0.062810025,0.061360308,0.052553311,0.05866357,0.062916107,0.063480431
BDT,Bangladeshi Taka,1.479296195,1.577181181,1.541273967,1.453855579,1.253962497,1.232920145,1.187911246,1.161213096
PEN,Peruvian Sol,0.061939316,0.062751678,0.050819825,0.046584146,0.045157196,0.047170589,0.051551032,0.049363696
GEL,Georgian Lari,0.036441287,0.039666666,0.031470034,0.030252138,0.028036915,0.0298009,0.036233199,0.039209887
XAF,Central African CFA Franc BEAC,9.818474213,10.95900302,9.539741885,9.065232204,7.712937637,8.583967113,9.120560419,9.175895811
FJD,Fijian Dollar,0.041378263,0.041428451,0.034310192,0.032351479,0.030668648,0.031468667,0.03211592,0.031131723
VEF,Venezuelan Bolívar,0.04612744,0.096196866,0.08104033,0.078461652,0.101548344,0.100525198,0.095864868,0.029137015
HRK,Croatian Kuna,0.109369235,0.123445188,0.109649451,0.104259307,0.089538741,0.100200483,0.106229102,0.104866767
UZS,Uzbekistani Som,32.42617734,36.93512241,34.03693843,36.20379719,35.58535751,38.3334465,42.40943254,47.75232949
BGN,Bulgarian Lev,0.029272795,0.032747874,0.028483603,0.027066653,0.022987832,0.025578292,0.027167963,0.027331844
DZD,Algerian Dinar,1.543874583,1.64541391,1.41594427,1.433293046,1.261880525,1.391891977,1.61654885,1.62017987
IRR,Iranian Rial,212.5080413,230.4921661,209.6682946,224.1629855,400.3307669,427.884146,457.5078177,476.4343358
DOP,Dominican Peso,0.775053103,0.832214768,0.725593649,0.728409238,0.68434679,0.700948166,0.687402189,0.679422177
ISK,Icelandic Krona,2.662518738,2.573825459,2.307199303,2.33523721,1.853634533,2.018936596,1.963042255,1.662281399
CRC,Costa Rican Colon,12.08970846,11.2550335,9.511873335,9.351531879,7.99902062,8.53886603,8.110533432,8.051969587
XAG,Silver Ounce,0.001270256,0.000723817,0.000680382,0.000601227,0.000829917,0.001008561,0.001087996,0.000924351
SYP,Syrian Pound,0.978593527,1.046979831,0.947606436,1.295528064,1.825186943,2.837841016,2.850698994,3.138851119
JMD,Jamaican Dollar,1.916496435,1.894854486,1.612325685,1.68563542,1.707231216,1.809958901,1.811368684,1.886989524
LYD,Libyan Dinar,0.026565113,0.02803132,0.023578966,0.023027582,0.019846865,0.020803118,0.02060844,0.021159652
GHS,Ghanaian Cedi,0.030717969,0.033165547,0.030851864,0.034811192,0.037974379,0.050898836,0.057522062,0.062918292
MUR,Mauritian Rupee,0.66107821,0.666666638,0.544666394,0.560725567,0.487203216,0.502655442,0.541244976,0.52755653
AOA,Angolan Kwanza,1.912687253,2.067382572,1.789106631,1.748408219,1.577324491,1.628527459,2.041617036,2.429217595
UYU,Uruguayan Peso,0.419441904,0.442952996,0.373162434,0.34997307,0.340961465,0.384946955,0.451650053,0.43087465
AFN,Afghan Afghani,1.042915697,0.962527982,0.910667146,0.923825971,0.904113454,0.921025228,1.032219464,0.98153474
LBP,Lebanese Pound,32.27848045,33.55704641,28.34526877,27.44290931,24.23896627,23.93322495,22.77188233,22.15443206
XPF,CFP Franc,1.786177499,1.993662578,1.735470495,1.649147662,1.403138142,1.561595884,1.659212974,1.669279593
TTD,Trinidadian Dollar,0.13585992,0.141834453,0.119675834,0.117136266,0.103096405,0.100919935,0.096963861,0.098437492
TZS,Tanzanian Shilling,28.73846752,33.06487639,29.68337654,28.85401796,25.56402976,27.4617752,32.67912983,31.99185341
ALL,Albanian Lek,2.052828863,2.344071548,2.026762104,1.930039729,1.644209879,1.83090358,1.904599216,1.894706299
XCD,East Caribbean Dollar,0.055782018,0.060402685,0.050885789,0.04926666,0.04363014,0.042745669,0.040763987,0.039732293
GTQ,Guatemalan Quetzal,0.178788527,0.179272932,0.147201281,0.144214585,0.126705158,0.120297206,0.115248741,0.110904601
NPR,Nepalese Rupee,1.602660287,1.590603966,1.609310162,1.600335932,1.604619616,1.598920709,1.556578825,1.601799998
BOB,Bolivian Bolíviano,0.149538719,0.155704696,0.129287598,0.12607936,0.110852875,0.109391407,0.104169165,0.100949457
ZWD,Zimbabwean Dollar,7.764428133,8.09619673,6.820580298,6.603551628,5.848054596,5.729497081,5.463878614,5.32559878
BBD,Barbadian or Bajan Dollar,0.042909246,0.044742729,0.037693177,0.036493792,0.032318622,0.031663427,0.030195516,0.029431328
CUC,Cuban Convertible Peso,0.020511112,0.020713646,0.018846588,0.018246896,0.016159311,0.015831713,0.015097758,0.014715664
LAK,Lao Kip,182.2287723,179.4183415,150.3957745,145.9014116,129.2744868,128.1920114,123.2470039,120.1945971
BND,Bruneian Dollar,0.0301416,0.028736017,0.024434602,0.022281769,0.020405865,0.020987361,0.021350803,0.02129798
BWP,Botswana Pula,0.142935507,0.144798481,0.141384752,0.142331487,0.140883268,0.150408785,0.170612522,0.157126502
HNL,Honduran Lempira,0.405383065,0.422706938,0.357708237,0.363114765,0.327226045,0.332780792,0.337508282,0.341109095
PYG,Paraguayan Guarani,99.09396903,102.9082756,82.92498843,76.99112196,74.09044023,73.46502739,87.27027736,85.73345812
ETB,Ethiopian Birr,0.272538945,0.370145403,0.325499425,0.333457405,0.308036863,0.319832284,0.319806774,0.334045572
NAD,Namibian Dollar,0.158528209,0.148322145,0.15228326,0.154355359,0.169187597,0.183080717,0.234230397,0.20203812
PGK,Papua New Guinean Kina,0.056758097,0.058032071,0.040141828,0.03769986,0.040499394,0.041067737,0.045406859,0.046742835
SDG,Sudanese Pound,0.047936062,0.055883666,0.05034866,0.080492382,0.071141262,0.08976554,0.093926285,0.095350142
MOP,Macau Pataca,0.171360974,0.179109388,0.150794248,0.145669,0.129059481,0.126459828,0.120526833,0.117536752
BMD,Bermudian Dollar,0.021454623,0.022371364,0.018846588,0.018246896,0.016159311,0.015831713,0.015097758,0.014715664
NIO,Nicaraguan Cordoba,0.447174423,0.489373593,0.432962665,0.439841305,0.404386748,0.421101006,0.421654415,0.431467669
